"image-wrapper href","ls-is-cached src","product-discount","d-flex href 2","col-12","col-12 href","col-12 2","product-price-not-discounted","product-price","w-100 href","d-none","lazyload src","lazyloaded src","out-of-stock"
"https://www.cnc-marketi.com/urun/11-kw-380v-motor-surucu-inverter","https://cncmarketi.tsoftstatic.com/urun11-kw-380v-motor-surucu-inverter-9192-13-O.jpg","38","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/130/0db384ddd111cbffc5fe1c4f4c84916c42766e6c0853190ab040d1b6f161999a3bd999be3125a45cf2c57bf3ccfdec09","RBCA","https://www.cnc-marketi.com/rbca","11 Kw 380V Motor Sürücü İnverter","17.423,94","10.828,86","javascript:void(0);","Sepete Ekle","","",""
"https://www.cnc-marketi.com/urun/4-5-kw-18000-rpm-spindle-motor-er32","https://cncmarketi.tsoftstatic.com/urun4-5-kw-18000-rpm-spindle-motor-er32-9417-34-O.jpg","33","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/345/55f4df638e7d8b1b0cf04d1edc849e643d83f62f1ef55616572a3bbfbc66834a1dfa34fa0b593aa7f76ead08d1288e65","Promertech","https://www.cnc-marketi.com/mrk","4,5 kw 18000 Rpm Spindle Motor ER32","23.792,49","15.937,69","javascript:void(0);","Sepete Ekle","","",""
"https://www.cnc-marketi.com/urun/4-eksen-cnc-freze-kontrol-unitesi-paneli-tus-takimi-el-carki-seti","https://cncmarketi.tsoftstatic.com/urun4-eksen-cnc-freze-kontrol-unitesi-paneli-tus-takimi-el-carki-seti-10752-15-O.png","43","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/1565/e76c92ad20b06d97369d338fa8ea9ea8ad67da7fa2caeb7744e699ff103ea49a9a28a217723f3f4aff4079fa1dfb1f07","","","4 Eksen Cnc Freze Kontrol Ünitesi Paneli + Tuş Takımı + El Çarkı Seti 1000MDca-4","119.750,40","68.183,60","javascript:void(0);","Sepete Ekle","","",""
"https://www.cnc-marketi.com/urun/spindle-motor-surucu-0-55-kw-hiz-kontrol-cihazi-inverter","https://cncmarketi.tsoftstatic.com/urunspindle-motor-surucu-0-55-kw-hiz-kontrol-cihazi-inverter-9074-19-O.jpg","70","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/19/414bd569f5655bd4ac496a3dc1cdbd75e48743ae76a7b370cb9c0a9baa743ab8bbc3a0e396f188ef7d6256954a6d575d","Siemens Hız Kontrol Cihazı","https://www.cnc-marketi.com/siemens-hiz-kontrol-cihazi","0.55 Kw Hız Kontrol Cihazı Siemens 380","30.698,53","9.209,56","javascript:void(0);","Sepete Ekle","","",""
"https://www.cnc-marketi.com/urun/spindle-motor-surucu-0-75-kw-hiz-kontrol-cihazi-inverter","https://cncmarketi.tsoftstatic.com/urunspindle-motor-surucu-0-75-kw-hiz-kontrol-cihazi-inverter-9082-27-O.jpg","70","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/27/39bb1ff9cf6110f47b03834a0cd5612a7d56275abd596e463b8eb08754d81f3d6c93b99edeb85e636f7a8426d995b659","Siemens Hız Kontrol Cihazı","https://www.cnc-marketi.com/siemens-hiz-kontrol-cihazi","0.75 Kw Hız Kontrol Cihazı Siemens 380","31.644,07","9.493,22","javascript:void(0);","Sepete Ekle","","",""
"https://www.cnc-marketi.com/urun/spindle-motor-surucu-1-1-kw-hiz-kontrol-cihazi-inverter","https://cncmarketi.tsoftstatic.com/urunspindle-motor-surucu-1-1-kw-hiz-kontrol-cihazi-inverter-9129-74-O.jpg","73","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/74/2ac7b21f1541d25229c239c50a6004463535e2edc1c11fd8fd40c4d076b91ed558227536e067662e902fd3871b203588","Siemens Hız Kontrol Cihazı","https://www.cnc-marketi.com/siemens-hiz-kontrol-cihazi","1.1 Hız Kontrol Cihazı Siemens 220","20.927,95","5.650,55","javascript:void(0);","Sepete Ekle","","",""
"https://www.cnc-marketi.com/urun/110-volt-ac-guc-kaynagi-toroid-600-w","https://cncmarketi.tsoftstatic.com/urun110-volt-ac-guc-kaynagi-toroid-600-w-9195-13-O.jpg","30","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/133/8b3ad4ae72bcd304e624da002abca6d906e7ca7bad0e102c7265e36f7f217cc2baba21211f364dc998a62f0ac0955ab8","Güç Kaynağı","https://www.cnc-marketi.com/guc-kaynagi","110 Volt Ac Güç Kaynağı Toroid 600 W","5.654,19","3.957,93","javascript:void(0);","Sepete Ekle","","",""
"https://www.cnc-marketi.com/urun/3-eksen-usb-mach3-kontrol-karti-2000-khz","https://cncmarketi.tsoftstatic.com/urun3-eksen-usb-mach3-kontrol-karti-2000-khz-9299-23-O.jpg","49","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/230/943422047940490ff9b01ad16f7a054a6012dc2343e8a175914915218f1a15aee1834262eec8202932fc9e4e227401c6","Mach3 Kontrol Kartı","https://www.cnc-marketi.com/mach3-kontrol-karti","3 Eksen Usb Mach3 Kontrol Kartı 2000 Khz","13.479,44","6.940,08","javascript:void(0);","Sepete Ekle","","",""
"https://www.cnc-marketi.com/urun/4-eksen-cnc-usb-mach3-kontrol-karti-100-khz","https://cncmarketi.tsoftstatic.com/urun4-eksen-cnc-usb-mach3-kontrol-karti-100-khz-9406-33-O.jpg","38","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/333/338e2d833b0e70c8da7a051b99413e92811845071f2101a151c9cc500faff8dae9e82bde3017342b4b28ba875346664c","Mach3 Kontrol Kartı","https://www.cnc-marketi.com/mach3-kontrol-karti","4 Eksen Cnc Usb Mach3 Kontrol Kartı 100 KHZ","1.004,14","625,97","javascript:void(0);","Sepete Ekle","","",""
"https://www.cnc-marketi.com/urun/4-eksen-usb-mach3-cnc-kart-2000-khz","https://cncmarketi.tsoftstatic.com/urun4-eksen-usb-mach3-cnc-kart-2000-khz-9410-33-O.jpg","39","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/337/dd297213a01a919327b955214a61e0592a615339b8371651e6d151624a2f2f4ece2d282b5bb93405d7d602cb1101accc","Mach3 Kontrol Kartı","https://www.cnc-marketi.com/mach3-kontrol-karti","4 Eksen Usb Mach3 Cnc Kart 2000 Khz","18.413,57","11.196,66","javascript:void(0);","Sepete Ekle","","",""
