"image-wrapper href","lazyloaded src","product-discount","d-flex href 2","col-12","col-12 href","col-12 2","product-price-not-discounted","product-price","w-100 href","d-none","lazyloading src","out-of-stock"
"https://www.cnc-marketi.com/urun/12-mm-alt-destekli-indiksiyonlu-mil","https://cncmarketi.tsoftstatic.com/urun12-mm-alt-destekli-indiksiyonlu-mil-9202-14-O.jpg","37","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/140/552ccaae2cd4c3366ff929afe198ddbc1b162a8b6b399ce652c1471c9562239749cb557cca4012c7962ca216f2441a44","Alt Destekli Mil","https://www.cnc-marketi.com/alt-destekli-mil","12 Mm Alt Destekli İndiksiyonlu Mil","901,50","570,76","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/step-motor-tutucu-braket-alumiyum-monoblok","","58","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/1023/eed5672eb9e0cbaecd6e1412844589399ac3676db22d29220fce0876ca554e5bc9d27acf4fccfe4e180c87f598fbb07b","Promertech Teknoloji","https://www.cnc-marketi.com/promertech-teknoloji","Nema 17 Step Motor Tutucu Braket Alüminyum Monoblok","442,20","185,07","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/nema23-step-motor-tutucu-braket-alumiyum-monoblok","","58","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/1024/057a85eb87a7cfb757bae607b333b37250607429acff17d1b36963080d7c92c0de14890cea800bd8b4e4df2ca3785d1f","Promertech Teknoloji","https://www.cnc-marketi.com/promertech-teknoloji","Nema 23 Step Motor Tutucu Braket Alüminyum Monoblok","455,16","190,51","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/nema34-step-motor-tutucu-braket-alumiyum-monoblok","","58","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/1028/ad839728f39a2b8fb717b68d905b1e1a994151e06ef6e05dc39ec4af9d1bae16cfc0003ae3656412f0621615c2566977","Promertech Teknoloji","https://www.cnc-marketi.com/promertech-teknoloji","Nema 34 Step Motor Tutucu Braket Alüminyum Monoblok","826,85","346,19","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/10-mm-krom-kapli-induksiyonlu-taslanmis-mil","https://cncmarketi.tsoftstatic.com/urun10-mm-krom-kapli-induksiyonlu-taslanmis-mil-9177-11-O.jpg","45","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/115/33ce07a8ac0a3fe60407ecf320071c6b9f73c4b11962e0c3d87aa597910bbf7b0434e7dd5685f8d8bf4f180e936e6856","İndiksiyonlu Krom Mil","https://www.cnc-marketi.com/indiksiyonlu-krom-mil","10 Mm Krom Kaplı İndüksiyonlu Taşlanmış Mil","358,73","196,73","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/lineer-kizak-15-mm-lineer-kizak-fiyatlari","https://cncmarketi.tsoftstatic.com/urunlineer-kizak-15-mm-lineer-kizak-fiyatlari-9223-15-O.jpg","45","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/158/63f2d7d379c77e0234e8224be3657a8b16d366b49dda79f136e8a2c69f8d44ffc96506e033bbb005f2b5f3b310bc5a8f","Lineer Kızak-Ray","https://www.cnc-marketi.com/lineer-kizak-ray","15 Mm Lineer Kızak Ray","934,68","511,66","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/16-mm-krom-kapli-induksiyonlu-taslanmis-mil","https://cncmarketi.tsoftstatic.com/urun16-mm-krom-kapli-induksiyonlu-taslanmis-mil-9228-16-O.jpg","45","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/163/d50be58ecb98653a5249bd1597845340af871bdc63455265ff507b7d69de7ce6951b2a0a65cbba0bad4bac282c24aa47","İndiksiyonlu Krom Mil","https://www.cnc-marketi.com/indiksiyonlu-krom-mil","16 Mm Krom Kaplı İndüksiyonlu Taşlanmış Mil","559,87","306,37","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/20-mm-krom-kapli-induksiyonlu-taslanmis-mil","https://cncmarketi.tsoftstatic.com/urun20-mm-krom-kapli-induksiyonlu-taslanmis-mil-9257-19-O.jpg","45","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/190/2467a542e6931058c10047d7e53fac54a98a355d0ac5fb065b28ba7f953f5274308c248f8a2f0249d8e38aeb278d8d85","İndiksiyonlu Krom Mil","https://www.cnc-marketi.com/indiksiyonlu-krom-mil","20 Mm Krom Kaplı İndüksiyonlu Taşlanmış Mil","613,27","335,92","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/20-mm-lineer-kizak-ray-standart","https://cncmarketi.tsoftstatic.com/urun20-mm-lineer-kizak-ray-standart-9258-19-O.jpg","45","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/191/a510ab0c66cb2b38b094dd11205a724f49d86c3717109f01ace6d83017130b2358bc62553ceb1b78042305b4073164e0","Lineer Kızak-Ray","https://www.cnc-marketi.com/lineer-kizak-ray","20 Mm Lineer Kızak Ray Standart","945,56","517,88","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/20-mm-lineer-kizak-ray-standart-17624130921580","https://cncmarketi.tsoftstatic.com/urun20-mm-lineer-kizak-ray-standart-17624130921580-10908-15-O.jpg","35","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/1580/19a5e2fbf8e080ab487f410fffd859523b43a3ea92405f7b461a79da0c8ff6467513fe5ff08d9932bc80042846ac7a04","Lineer Kızak-Ray","https://www.cnc-marketi.com/lineer-kizak-ray","25 Mm Lineer Kızak Ray Standart","1.266,45","823,19","javascript:void(0);","Sepete Ekle","",""
