"image-wrapper href","lazyloaded src","product-discount","d-flex href 2","col-12","col-12 href","col-12 2","product-price-not-discounted","product-price","w-100 href","d-none","lazyloading src","out-of-stock"
"https://www.cnc-marketi.com/urun/protex-3-14-mm-30-derece-gravur-ve-pcb-bicaklari","https://cncmarketi.tsoftstatic.com/urunprotex-3-14-mm-30-derece-gravur-ve-pcb-bicaklari-10273-11-O.jpg","0","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/1146/3a8b7d7d4849883b7282b042cfdbefe037ff86aa288d9aa73893ae34729737a3263c246cc9869e59c5e87f4378325004","Cnc Router Bıçakları","https://www.cnc-marketi.com/cnc-router-bicaklari","Protex Ø3.14 Mm 30 Derece Gravür Ve Pcb Bıçakları","242,61","242,61","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/protex-3-mm-22-kesim-mfd-ahsap-plexsi-karbur-cnc-uc","https://cncmarketi.tsoftstatic.com/urunprotex-3-mm-22-kesim-mfd-ahsap-plexsi-karbur-cnc-uc-10272-11-O.jpg","0","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/1145/1a50b18984deb0ae12c25934a558ba946151b2cf6d57f2c320c5fb422eaba53ffb0de52f3fe8b880423624b764e65359","Cnc Router Bıçakları","https://www.cnc-marketi.com/cnc-router-bicaklari","Protex Ø3 Mm 22 Kesim Mfd Ahşap Plexsi Karbür Cnc Uç","200,62","200,62","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/protex-4-mm-22-kesim-mfdf-ahsap-plexsi-karbur-uc","https://cncmarketi.tsoftstatic.com/urunprotex-4-mm-22-kesim-mfdf-ahsap-plexsi-karbur-uc-10274-11-O.jpg","39","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/1147/ad846f8ea4539526b952c78279fab458d0158e660691fb18a4fc340e7026540a1cb692dfd5dedaa89039fcbfd55fa729","Cnc Router Bıçakları","https://www.cnc-marketi.com/cnc-router-bicaklari","Protex Ø4 Mm 22 Kesim Mfdf Ahşap Plexsi Karbür Uç","294,45","179,62","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/-5-mm-x-22-3d-isleme-karbur-freze-cnc-uclari","https://cncmarketi.tsoftstatic.com/urun-5-mm-x-22-3d-isleme-karbur-freze-cnc-uclari-10212-10-O.jpg","40","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/1089/80cdaee205eb588d1cbf504681eff302082f493ff0b7ada6ab3291594f790a6d3ca540dbfe30cdf16df99c2902a95e52","Cnc Router Bıçakları","https://www.cnc-marketi.com/cnc-router-bicaklari","Ø5 Mm X 22 3D İşleme Karbür Freze Cnc Uçları","441,16","264,70","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/-4-mm-x-22-3d-isleme-karbur-freze-cnc-uclari","https://cncmarketi.tsoftstatic.com/urun-4-mm-x-22-3d-isleme-karbur-freze-cnc-uclari-10207-10-O.jpg","40","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/1084/5f5f3ee7bc7779f4053bf874cb500a67f626e7a4db3aca8b591395620188bfbd0c7510be3e5e9d2beffa9e3fa6871fa4","Cnc Router Bıçakları","https://www.cnc-marketi.com/cnc-router-bicaklari","Ø4 Mm X 22 3D İşleme Karbür Freze Cnc Uçları","294,45","176,67","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/-3-mm-x-22-3d-isleme-karbur-freze-cnc-uclari","https://cncmarketi.tsoftstatic.com/urun-3-mm-x-22-3d-isleme-karbur-freze-cnc-uclari-10202-10-O.jpg","50","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/1079/52320deb27009f986a121e7549de24929fd46e74f1c3dad506daf6a6247d31a498a47041fb46022fc3cf23b83ab5a003","Cnc Router Bıçakları","https://www.cnc-marketi.com/cnc-router-bicaklari","Ø3 Mm X 22 3D İşleme Karbür Freze Cnc Uçları","200,62","100,31","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/protex-5-mm-22-kesim-mfd-ahsap-plexsi-karbur-cnc-uc","https://cncmarketi.tsoftstatic.com/urunprotex-5-mm-22-kesim-mfd-ahsap-plexsi-karbur-cnc-uc-10275-11-O.jpg","39","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/1148/095599b7b19d52edafa62ee4ed84d0bfe3d2a90e39cfea4420e42ff5aafdc48927e5f668164e0258686584d3f73b5a60","Cnc Router Bıçakları","https://www.cnc-marketi.com/cnc-router-bicaklari","Protex Ø5 Mm 22 Kesim Mfd Ahşap Plexsi Karbür Cnc Uç","481,59","293,77","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/4-eksen-divizor-karsit-puntasi","https://cncmarketi.tsoftstatic.com/urun4-eksen-divizor-karsit-puntasi-9408-33-O.png","39","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/335/0089ac512d6087a01855517e99f51ad1d8dadf7d0c31ef9784132cacb3e0124f788c6baf84f812e138599fe905284bdb","Promertech Teknoloji","https://www.cnc-marketi.com/promertech-teknoloji","4 Eksen Divizör Karşıt Puntası","6.760,97","4.124,19","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/cnc-router-1500x800-m002-75","https://cncmarketi.tsoftstatic.com/uruncnc-router-1500x800-m002-75-9670-56-O.png","0","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/563/dda744455c715079eb883bd106ab163442139a28aee89e3d4d4be608b3d158ab5f12fc9a36b17fa96d0353971e526adf","Promertech","https://www.cnc-marketi.com/mrk","Cnc Router 1500X800 M002","180.000,00","180.000,00","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/cnc-router-1500x800-m002-35","https://cncmarketi.tsoftstatic.com/uruncnc-router-1500x800-m002-35-9671-56-O.png","0","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/564/ba698849b85b33cbb935496c757f04353ab8ccd6b6a10afce75e4ea07ab38b495e7793189a5cf803021d062737b698c0","Promertech","https://www.cnc-marketi.com/mrk","Cnc Router 1500X800 M002","211.200,00","211.200,00","javascript:void(0);","Sepete Ekle","",""
