"image-wrapper href","ls-is-cached src","discounted-badge","product-discount","d-flex href 2","col-12","col-12 href","col-12 2","mr-1","product-price-not-discounted","product-price","w-100 href","d-none","lazyloaded src","out-of-stock"
"https://www.cnc-marketi.com/urun/20x20-sigma-profil-6-kanal","https://cncmarketi.tsoftstatic.com/urun20x20-sigma-profil-6-kanal-9266-19-O.jpg","%","45","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/199/e3aab08b248a197b113a8ef9c3b9874c6b2867e5569333eae3e41c434b04371f3a67e661aeadd68e6966be9eb5dd209d","Sigma Profil Perakende","https://www.cnc-marketi.com/marka/sigma-profil-perakende","20X20 Sigma Profil 6 Kanal","TL","306,16","168,39","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/20x20-v-slot-sigma-profil-6-kanal","https://cncmarketi.tsoftstatic.com/urun20x20-v-slot-sigma-profil-6-kanal-9267-20-O.png","%","45","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/200/96d95c39042f9cce5727ba156bdfbc978f1f6c7f4c6f750d498954318af03aa9f6e0671f5d5f69a4cfc0ce655f86596c","Sigma Profil Perakende","https://www.cnc-marketi.com/marka/sigma-profil-perakende","20X20 V Slot Sigma Profil 6 Kanal","TL","334,71","184,09","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/sigma-profil-20x20xr-sigma-profil-6-kanal","https://cncmarketi.tsoftstatic.com/urunsigma-profil-20x20xr-sigma-profil-6-kanal-9268-20-O.jpg","%","45","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/201/24c8e594041e3679d8975eb67719fb404de55bd57e290098c6db72b3c0de17549b10659ee32a6a246d2c8c63c3466d30","Sigma Profil Perakende","https://www.cnc-marketi.com/marka/sigma-profil-perakende","20X20Xr Sigma Profil 6 Kanal","TL","300,60","165,33","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/sigma-profil-20x40-sigma-profil-6-kanal","https://cncmarketi.tsoftstatic.com/urunsigma-profil-20x40-sigma-profil-6-kanal-9270-20-O.jpg","%","45","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/203/ba3d96443821579f242cf1ee5d9a4c688e1ba587048fa9db829ec9de73f5491edb1cd7242c80c2afca7266cfbace2ff4","Sigma Profil Perakende","https://www.cnc-marketi.com/marka/sigma-profil-perakende","20X40 Sigma Profil 6 Kanal","TL","553,62","304,49","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/20x40-v-slot-sigma-profil-6-kanal","https://cncmarketi.tsoftstatic.com/urun20x40-v-slot-sigma-profil-6-kanal-9272-20-O.png","%","45","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/205/78110086b338fac445981343d1d0c1a75741c59a624ca710fa7e808a539597c144d30e468863a0195d97b05748e26feb","Sigma Profil Perakende","https://www.cnc-marketi.com/marka/sigma-profil-perakende","20X40 V Slot Sigma Profil 6 Kanal","TL","560,76","308,42","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/sigma-profil-25x25-6-kanal","https://cncmarketi.tsoftstatic.com/urunsigma-profil-25x25-6-kanal-9291-22-O.jpg","%","45","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/224/ce26fe076b40bc253e6233a1bf702b073f6139802e83f69ba13406e52ddf23ed4167cd4be23a5f9c7eda8441cc0668aa","Sigma Profil Perakende","https://www.cnc-marketi.com/marka/sigma-profil-perakende","25X25 Sigma Profil 6 Kanal","TL","450,51","247,78","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/sigma-profil-30x30-8-kanal","https://cncmarketi.tsoftstatic.com/urunsigma-profil-30x30-8-kanal-9383-31-O.jpg","%","45","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/312/22e99f179b1bbe6155e07896071d7db35cbbe30eb429af03bd426d521983716e828458f31dda50cee5e333feff193546","Sigma Profil Perakende","https://www.cnc-marketi.com/marka/sigma-profil-perakende","30X30 Sigma Profil 8 Kanal","TL","699,56","384,76","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/sigma-profil-30x30xr-sigma-profil-8-kanal","https://cncmarketi.tsoftstatic.com/urunsigma-profil-30x30xr-sigma-profil-8-kanal-9385-31-O.png","%","45","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/314/14d831ceb60f60ff3804927149da199ef20d20dec7b2a71f658deb6b891e66594c8cf15fab35a44f68f04d0e35712182","Sigma Profil Perakende","https://www.cnc-marketi.com/marka/sigma-profil-perakende","30X30Xr Sigma Profil 8 Kanal","TL","549,65","302,31","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/sigma-profil-30x60-sigma-profil-8-kanal","https://cncmarketi.tsoftstatic.com/urunsigma-profil-30x60-sigma-profil-8-kanal-9388-31-O.png","%","45","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/317/a645f5b9999c3d00f3423dc68bcb797976c4d75ef39659ea6d105bfbbc36bfbdd6b261a7b6be604b7509ef8ad626616d","Sigma Profil Perakende","https://www.cnc-marketi.com/marka/sigma-profil-perakende","30X60 Sigma Profil 8 Kanal","TL","1.202,42","661,33","javascript:void(0);","Sepete Ekle","",""
"https://www.cnc-marketi.com/urun/sigma-profil-30x90-sigma-profil-8-kanal","https://cncmarketi.tsoftstatic.com/urunsigma-profil-30x90-sigma-profil-8-kanal-9391-32-O.png","%","45","https://www.cnc-marketi.com/srv/service/content-v5/sub-folder/3/1004/quick-view/320/23c2f756d356d76df02b012b80a5ee519de98daf0eb4b0a9684cbf98f173eb1da39effe107c6c629482862e3c7f04195","Sigma Profil Perakende","https://www.cnc-marketi.com/marka/sigma-profil-perakende","30X90 Sigma Profil 8 Kanal","TL","1.701,31","935,72","javascript:void(0);","Sepete Ekle","",""
